Address,City,NumberOfBaths,NumberOfBeds,Price,SqFt,ZipCode
"3325 Melanie Ln, Plano, TX 75023",Plano,3.5,4,550000,3323,75023
"4624 Reunion Dr, Plano, TX 75024",Plano,2.5,4,455000,2664,75024
"2917 Crow Valley Trl, Plano, TX 75023",Plano,3.5,4,425000,3111,75023
"3409 Canoncita Ln, Plano, TX 75023",Plano,3,4,459000,2876,75023
"5125 Meadowlark Dr, Plano, TX 75093",Plano,3.5,4,950000,4600,75093
"4728 Frost Hollow Dr, Plano, TX 75093",Plano,2,3,350000,1838,75093
"3013 Sewanee Dr, Plano, TX 75075",Plano,2.5,4,400000,2585,75075
"7016 Harvey Ln, Plano, TX 75025",Plano,3.5,4,499000,3136,75025
"4517 Charlemagne Dr, Plano, TX 75093",Plano,3,4,620000,3137,75093
"2704 Chamberlain Cir, Plano, TX 75023",Plano,3,4,474900,2610,75023
"4529 Bentley Dr, Plano, TX 75093",Plano,3.5,5,615000,3600,75093
"6504 Turtle Point Dr, Plano, TX 75023",Plano,3,4,385000,2733,75023
"4116 Whistler Dr, Plano, TX 75093",Plano,2.5,3,499000,2555,75093
"1846 Hatherly Dr, Plano, TX 75023",Plano,2,4,425000,2275,75023
"4064 White Porch Rd, Plano, TX 75024",Plano,2.5,4,524900,2947,75024
"4149 White Porch Rd, Plano, TX 75024",Plano,3.5,4,590000,3417,75024
"415 Rolling Hills Trl, Arlington, TX 76011",Arlington,2.5,4,342500,2514,76011
"5508 Independence Ave, Arlington, TX 76017",Arlington,3.5,5,415000,3595,76017
"525 Cross Cut Dr, Arlington, TX 76018",Arlington,2,3,249999,1583,76018
"2721 Hilldale Blvd, Arlington, TX 76016",Arlington,2,3,220000,1463,76016
"2208 Valleydale Dr, Arlington, TX 76013",Arlington,2.5,3,309000,2059,76013
"5716 Sterling Green Trl, Arlington, TX 76017",Arlington,2,3,237920,1533,76017
"5317 Vermillion Trl, Arlington, TX 76017",Arlington,2,3,249000,1708,76017
"2331 Idlewood Dr, Arlington, TX 76014",Arlington,3,3,210000,1610,76014
"5511 Silver Bow Trl, Arlington, TX 76017",Arlington,2,3,250000,1777,76017
"6711 Parkside Ct, Arlington, TX 76016",Arlington,3,4,445900,2970,76016
"4511 Smokey Quartz Ln, Arlington, TX 76005",Arlington,2.5,2,324520,1509,76005
"101 Moss Hill Dr, Arlington, TX 76018",Arlington,2,3,235000,1220,76018
"2403 Winding Hollow Ln, Arlington, TX 76006",Arlington,2.5,3,399990,2360,76006
"4110 Timbersedge Trl, Arlington, TX 76015",Arlington,2,4,349000,2292,76015
"903 Birds Fort Trl, Arlington, TX 76005",Arlington,2,2,364900,1618,76005
"1124 Forrest Dr, Arlington, TX 76012",Arlington,3,4,380000,2239,76012
"3302 Westgrove Dr, Arlington, TX 76001",Arlington,3,5,389900,2341,76001
"4409 Murwick Dr, Arlington, TX 76016",Arlington,2.5,3,347900,2184,76016
"708 Carswell Ter, Arlington, TX 76010",Arlington,2,4,240000,1930,76010
"6302 Pilgrim Ln, Arlington, TX 76002",Arlington,2,3,224900,1317,76002
"6918 Misty Meadow Ln, Arlington, TX 76002",Arlington,2,3,269900,1672,76002
"4219 Cascade Sky Dr, Arlington, TX 76005",Arlington,2.5,3,335000,2037,76005
